카테고리,id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크
미국,117,A,퀸테사,Quintessa,Quintessa,,750ml,168300,812050,0.7927,해외가,Quintessa Rutherford 2016,1.0,,,,USD,545.0,2025,높음,,False,https://charme-du-vin.com/2025/05/39385/
이탈리아,19,A,자코모 콘테르노 바롤로 리제르바 몬포르티노,Giacomo Conterno Barolo Riserva Monfortino,Giacomo,DOCG,750ml,1188000,5362510,0.7785,해외가,Giacomo Conterno Barolo Riserva Monfortino 1999,1.0,,,,USD,3599.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43201/
이탈리아,54,A,아마 산 로렌초 키안티 클라시코 그란 셀레치오네,Ama San Lorenzo Chianti Classico Gran Selezione,Ama,DOCG,750ml,57420,245775,0.7664,해외가,Castello di Ama Chianti Classico Vigneto Gran Selezione San Lorenzo 2019,1.0,,,,USD,164.95,2025,높음,,False,https://charme-du-vin.com/2025/07/40368/
스페인·포르투갈,66,A,핑구스,Pingus,Pingus,,750ml,1055736,4364210,0.7581,해외가,Dominio de Pingus Pingus 2005,1.0,,,,USD,2929.0,2022,낮음,빈티지대체,False,https://charme-du-vin.com/2022/12/28439/
미국,130,A,조셉 펠프스 인시그니아,Joseph Phelps Insignia,Joseph,,1.5L,257400,981910,0.7379,해외가,Joseph Phelps Vineyards Insignia 2014,1.0,,,,USD,659.0,2025,높음,"실제병가:514,800원",False,https://charme-du-vin.com/2025/02/38051/
미국,98,A,홀 카베르네 소비뇽,Hall Cabernet Sauvignon,Hall,,750ml,82170,296510,0.7229,해외가,Hall Kathryn Hall Cabernet Sauvignon 2019,1.0,,,,USD,199.0,2025,높음,,False,https://charme-du-vin.com/2025/07/40032/
스페인·포르투갈,75,A,발렌시소 리오하 레세르바,Valenciso Rioja Reserva,Valenciso,,750ml,38056,131403,0.7104,해외가,VALENCISO Rioja Reserva 10 Años Después Edición Limitada 2014,1.0,,,,USD,88.19,2022,낮음,,False,https://charme-du-vin.com/2022/06/26507/
미국,118,A,퀸테사,Quintessa,Quintessa,,750ml,158400,521485,0.6963,해외가,Quintessa Rutherford 2017,1.0,,,,USD,349.99,2025,높음,,False,https://charme-du-vin.com/2025/05/39385/
이탈리아,73,A,테르체토 가비,Terzetto Gavi,Terzetto,DOC,750ml,10890,35686,0.6948,해외가,Terzetto Gavi 2025,1.0,,,,USD,23.95,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/03/38825/
미국,131,A,조셉 펠프스 인시그니아,Joseph Phelps Insignia,Joseph,,1.5L,267300,852280,0.6864,해외가,Joseph Phelps Vineyards Insignia 2015,1.0,,,,USD,572.0,2025,높음,"실제병가:534,600원",False,https://charme-du-vin.com/2025/02/38051/
