id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크
11,A,칼레라 셀렉,Calera Selleck,Calera,,750ml,153450,384420,0.6008,해외가,Calera Pinot Noir Selleck Vineyard 1997,1.0,,,,USD,258.0,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/06/43857/
12,A,칼레라 젠슨,Calera Jensen,Calera,,750ml,153450,296510,0.4825,해외가,Calera Pinot Noir Jensen Vineyard 2007,1.0,,,,USD,199.0,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/06/43857/
13,D,더 ヴァイス 더 저지먼트 카베르네 소비뇽,The ヴァイス The Judgement Cabernet Sauvignon,ヴァイス,,750ml,128700,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/06/43850/
18,A,할란 에스테이트 프로몬토리,Harlan Estate Promontory,Harlan,,750ml,1138500,2674476,0.5743,해외가,Harlan Estate Red 2018,0.5,,,,USD,1794.95,2026,높음,,False,https://charme-du-vin.com/2026/05/43557/
20,D,콩스가드 キングスファーム 나파 밸리 블랑,Kongsgaard キングスファーム Napa Valley Blanc,Kongsgaard,,750ml,118800,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43521/
22,D,키슬러 샤르도네 ストックランチ 소노마 코스트,Kistler Chardonnay ストックランチ Sonoma Coast,Kistler,,750ml,227700,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43509/
23,D,캘리포니아 プレス 샤르도네,California プレス Chardonnay,プレス,,750ml,14850,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43506/
24,D,캘리포니아 プレス 피노 누아,California プレス Pinot Noir,プレス,,750ml,14850,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43506/
25,D,캘리포니아 プレス 레드 블렌드,California プレス Red Blend,プレス,,750ml,14850,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43506/
33,D,ヴァソ 카베르네 소비뇽 나파,ヴァソ Cabernet Sauvignon Napa,ヴァソ,,750ml,128700,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43109/
34,D,シン クワ ノン ディステンタ V 시라,シン クワ ノン ディステンタ V Syrah,シン,,750ml,544500,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43106/
35,D,シン クワ ノン ディステンタ V 그르나슈,シン クワ ノン ディステンタ V Grenache,シン,,750ml,544500,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43106/
