id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크
27,B,피터 마이클 샤르도네 マベルフィーユ,Peter Michael Chardonnay マベルフィーユ,Peter,,750ml,277200,539380,0.4861,해외가,Peter Michael Belle Côte Chardonnay 2017,1.0,,,,USD,362.0,2026,높음,,True,https://charme-du-vin.com/2026/05/43393/
61,B,오베르 피노 누아 UVヴィンヤード,Aubert Pinot Noir UVヴィンヤード,Aubert,,750ml,207900,631760,0.6709,해외가,Aubert Pinot Noir CIX 2022,0.75,,,,USD,424.0,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/12/41700/
62,B,오베르 피노 누아 UV‐SLヴィンヤード,Aubert Pinot Noir UV‐SLヴィンヤード,Aubert,,750ml,227700,631760,0.6396,해외가,Aubert Pinot Noir CIX 2022,0.6,,,,USD,424.0,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/12/41700/
63,B,에덴 리프트 ヴァリアント 피노 누아,Eden Rift ヴァリアント Pinot Noir,Eden,,750ml,42570,68525,0.3788,해외가,Eden Rift Vineyards Pinot Noir 2022,1.0,,,,USD,45.99,2025,높음,,True,https://charme-du-vin.com/2025/11/41519/
64,B,에덴 리프트 ヴァリアント 샤르도네,Eden Rift ヴァリアント Chardonnay,Eden,,750ml,42570,68540,0.3789,해외가,Eden Rift Vineyards Estate Chardonnay 2022,1.0,,,,USD,46.0,2025,높음,,True,https://charme-du-vin.com/2025/11/41519/
87,B,키슬러 샤르도네 ノワゼッティエール,Kistler Chardonnay ノワゼッティエール,Kistler,,750ml,108900,163900,0.3356,해외가,Kistler Chardonnay 2023,1.0,,,,USD,110.0,2025,높음,,True,https://charme-du-vin.com/2025/08/40592/
94,B,오 봉 클리마 샤르도네 뉘 블랑슈 フォーサイト,Au Bon Climat Chardonnay Nuits Blanches フォーサイト,Au,,750ml,53460,89892,0.4053,해외가,Au Bon Climat Chardonnay Nuits-Blanches au Bouge 2021,1.0,,,,USD,60.33,2025,높음,,True,https://charme-du-vin.com/2025/07/40252/
96,B,피터 마이클 샤르도네 ベルコート,Peter Michael Chardonnay ベルコート,Peter,,750ml,237600,604940,0.6072,해외가,Peter Michael Mon Plaisir Chardonnay 2020,1.0,,,,USD,406.0,2025,높음,,True,https://charme-du-vin.com/2025/07/40250/
125,B,신 쿠아 논 ディスティンタ IV 시라,Sine Qua Non ディスティンタ IV Syrah,Sine,,750ml,544500,1241170,0.5613,해외가,Sine Qua Non Eleven Confessions Syrah 2022,0.8,,,,USD,833.0,2025,높음,,True,https://charme-du-vin.com/2025/04/39042/
140,B,알반 빈야드 パトリーナ,Alban Vineyard パトリーナ,Alban,,750ml,103950,297970,0.6511,해외가,Alban Vineyards Seymour's 2020,1.0,,,,USD,199.98,2025,높음,,True,https://charme-du-vin.com/2025/01/37840/
