no,name,name_raw,price_jpy,price_raw,tax_note,status,url,post_id,post_title,post_date,item_index,items_in_post,name_context
1,ミッシェルゴネ GCメニルスールオジェ ブランドブラン 15,ミッシェルゴネ　ＧＣメニルスールオジェ　ブランドブラン　１５,11550,"￥１１,５５０（税込）",税込,,http://charme-du-vin.com/2026/07/44366/,44366,ミッシェルゴネ　ＧＣメニルスールオジェ　ブランドブラン　１５,2026-07-23,1,1,
2,ローズドジャンヌ VV/23,ローズドジャンヌ　ⅤⅤ/２３,37400,￥３７，４００(税込),税込,,http://charme-du-vin.com/2026/07/44331/,44331,ローズドジャンヌ　VV/２３,2026-07-17,1,1,
3,ジャスティン エクストラブリュット 09,ジャスティン　エクストラブリュット　０９,28600,￥２８，６００(税込),税込,,http://charme-du-vin.com/2026/07/44291/,44291,ジャスティン　エクストラブリュット　０９,2026-07-15,1,1,
4,シャルルエドシック ブリュットレゼルヴ,シャルルエドシック　ブリュットレゼルヴ,7590,￥７，５９０(税込),税込,,http://charme-du-vin.com/2026/07/44261/,44261,シャルルエドシック　ブリュットレゼルヴ,2026-07-13,1,1,
5,レア シャンパーニュ ミレジム 08,レア　シャンパーニュ　ミレジム　０８,29700,￥２９，７００(税込),税込,,http://charme-du-vin.com/2026/07/44258/,44258,レア　シャンパーニュ　ミレジム　０８/ロゼ　０８,2026-07-13,1,2,
6,レア シャンパーニュ レア ロゼ 08,レア　シャンパーニュ　レア　ロゼ　０８,32450,￥３２，４５０(税込),税込,,http://charme-du-vin.com/2026/07/44258/,44258,レア　シャンパーニュ　ミレジム　０８/ロゼ　０８,2026-07-13,2,2,
7,パスカルアグラパール ヴェニュス ブリュットナチュール BB 19,パスカルアグラパール　ヴェニュス　ブリュットナチュール　ＢＢ　１９,45100,￥４５，１００(税込),税込,,http://charme-du-vin.com/2026/07/44179/,44179,パスカルアグラパール　ヴェニュス　ブリュットナチュール　ＢＢ　１９/ミネラル　ＥＸブリュット　ＢＢ　１９/アヴィゾワーズ　ＥＸブリュット　ＢＢ　１９,2026-07-08,1,3,
8,パスカルアグラパール ミネラル EXブリュット BB 19,パスカルアグラパール　ミネラル　ＥＸブリュット　ＢＢ　１９,23100,￥２３，１００(税込),税込,,http://charme-du-vin.com/2026/07/44179/,44179,パスカルアグラパール　ヴェニュス　ブリュットナチュール　ＢＢ　１９/ミネラル　ＥＸブリュット　ＢＢ　１９/アヴィゾワーズ　ＥＸブリュット　ＢＢ　１９,2026-07-08,2,3,
9,パスカルアグラパール アヴィゾワーズ EXブリュット BB 19,パスカルアグラパール　アヴィゾワーズ　ＥＸブリュット　ＢＢ　１９,29700,￥２９，７００(税込),税込,,http://charme-du-vin.com/2026/07/44179/,44179,パスカルアグラパール　ヴェニュス　ブリュットナチュール　ＢＢ　１９/ミネラル　ＥＸブリュット　ＢＢ　１９/アヴィゾワーズ　ＥＸブリュット　ＢＢ　１９,2026-07-08,3,3,
10,ノワック S.A サンザネ,ノワック　Ｓ．Ａ　サンザネ,8580,￥８，５８０(税込),税込,,http://charme-du-vin.com/2026/07/44052/,44052,ノワック　Ｓ．Ａ　サンザネ/オートレ　クリュ,2026-07-01,1,2,
