id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크
14,B,자코모 콘테르노 바롤로 리제르바 モンフォルチーノ,Giacomo Conterno Barolo Riserva モンフォルチーノ,Giacomo,DOCG,750ml,1188000,1728326,0.3126,해외가,Giacomo Conterno Barolo Riserva Monfortino 2019,1.0,,,,USD,1159.95,2026,높음,,True,https://charme-du-vin.com/2026/06/43879/
35,B,로베르토 보에르치오 바롤로 フォッサーティ,Roberto Voerzio Barolo フォッサーティ,Roberto,DOCG,750ml,336600,551285,0.3894,해외가,Roberto Voerzio Brunate  Barolo 2019,1.0,,,,USD,369.99,2026,높음,,True,https://charme-du-vin.com/2026/01/42262/
36,B,로베르토 보에르치오 바롤로 ラセッラ,Roberto Voerzio Barolo ラセッラ,Roberto,DOCG,750ml,336600,551285,0.3894,해외가,Roberto Voerzio Brunate  Barolo 2019,1.0,,,,USD,369.99,2026,높음,,True,https://charme-du-vin.com/2026/01/42262/
44,B,발디카바 브루넬로 디 몬탈치노 モントゾーリ,Valdicava Brunello di Montalcino モントゾーリ,Valdicava,DOCG,750ml,316800,691658,0.542,해외가,Valdicava Brunello di Montalcino 2001,1.0,,,,USD,464.2,2025,높음,,True,https://charme-du-vin.com/2025/11/41630/
56,B,안티노리 피안 델레 비녜 브루넬로 디 몬탈치노 비냐 フェッロヴィア 리제르바,Antinori Pian delle Vigne Brunello di Montalcino Vigna フェッロヴィア Riserva,Antinori,DOCG,750ml,138600,201150,0.311,해외가,Antinori Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva 2018,0.875,,,,USD,135.0,2025,높음,,True,https://charme-du-vin.com/2025/07/40245/
90,B,제오그라피코 ボルゴアラテッラ 키안티 콜리 세네시,Geografico ボルゴアラテッラ Chianti Colli Senesi,Geografico,DOCG,750ml,13860,23825,0.4183,해외가,Geografico Borgo Alla Terra Chianti Colli Senesi 2021,1.0,,,,USD,15.99,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/01/37730/
6,B,아마 키안티 클라시코 그란 셀레치오네 ヴィニェートラ 비녜토 라 카수차,Ama Chianti Classico Gran Selezione ヴィニェートラ Vigneto La Casuccia,Ama,DOCG,750ml,287100,268185,-0.0705,해외가,Castello di Ama Vigneto La Casuccia Chianti Classico Gran Selezione 2015,1.0,,,,USD,179.99,2026,높음,,True,https://charme-du-vin.com/2026/07/44267/
7,B,아마 키안티 클라시코 그란 셀레치오네 산 로렌초,Ama Chianti Classico Gran Selezione San Lorenzo,Ama,DOCG,750ml,69300,81920,0.1541,해외가,Castello di Ama Chianti Classico Vigneto Gran Selezione San Lorenzo 2020,1.0,,,,USD,54.98,2026,높음,,False,https://charme-du-vin.com/2026/07/44267/
8,B,일 일 카르보나이오네,Il Il Carbonaione,Carbonaione,,750ml,57420,80177,0.2838,해외가,Poggio Scalette Il Carbonaione Alta Valle della Greve 2021,1.0,,,,USD,53.81,2026,높음,,False,https://charme-du-vin.com/2026/07/44248/
9,B,테누타 디 트리노로 カンポ 디 마냐코스타,Tenuta di Trinoro カンポ di Magnacosta,Trinoro,,750ml,138600,199645,0.3058,해외가,Tenuta di Trinoro Campo di Tenaglia Rosso Toscana 2022,0.667,,,,USD,133.99,2026,높음,,True,https://charme-du-vin.com/2026/07/44248/
11,B,안티노리 솔라이아,Antinori Solaia,Antinori,,750ml,445500,595985,0.2525,해외가,Antinori Tenuta Tignanello 'Solaia' 2020,1.0,,,,USD,399.99,2026,높음,,False,https://charme-du-vin.com/2026/07/44109/
15,B,트룰리 ミレア 프리미티보 디 만두리아,Trulli ミレア Primitivo di Manduria,Trulli,DOCG,750ml,35640,29785,-0.1966,해외가,Masseria Borgo dei Trulli Primitivo di Manduria 2023,1.0,,,,USD,19.99,2026,높음,,True,https://charme-du-vin.com/2026/05/43542/
16,B,오르넬라이아,Ornellaia,Ornellaia,,750ml,316800,387385,0.1822,해외가,Ornellaia Bolgheri Superiore 2022,1.0,,,,USD,259.99,2026,높음,,False,https://charme-du-vin.com/2026/05/43481/
17,B,페우디 디 산 그레고리오 クティッツイ 그레코 디 투포,Feudi di San Gregorio クティッツイ Greco di Tufo,Gregorio,DOCG,750ml,30690,36699,0.1637,해외가,Feudi di San Gregorio Greco Di Tufo 2022,1.0,34000,34500,2023-02-23,USD,24.63,2026,높음,,True,https://charme-du-vin.com/2026/05/43390/
18,B,레 세레 누오베 디 오르넬라이아,Le Serre Nuove di Ornellaia,Serre,,750ml,85140,111735,0.238,해외가,Ornellaia Le Serre Nuove 2022,1.0,,,,USD,74.99,2026,높음,,False,https://charme-du-vin.com/2026/05/43390/
21,B,자코모 콘테르노 네비올로 달바 비냐 아리오네,Giacomo Conterno Nebbiolo d'Alba Vigna Arione,Giacomo,DOC,750ml,257400,238325,-0.08,해외가,Giacomo Conterno Nebbiolo d'Alba Arione 2022,0.833,,,,USD,159.95,2026,높음,,False,https://charme-du-vin.com/2026/04/43201/
23,B,브루노 자코사 바르바레스코 라바야,Bruno Giacosa Barbaresco Rabajà,Bruno,DOCG,750ml,475200,535804,0.1131,해외가,Bruno Giacosa Falletto Barbaresco Rabaja 2021,1.0,,,,USD,359.6,2026,높음,,False,https://charme-du-vin.com/2026/04/43103/
24,B,엘리오 알타레 바르베라 달바,Elio Altare Barbera d'Alba,Elio,DOC,750ml,44550,56158,0.2067,해외가,Elio Altare Barbera d'Alba 2024,1.0,,,,USD,37.69,2026,높음,,False,https://charme-du-vin.com/2026/02/42441/
25,B,엘리오 알타레 바롤로 칸누비,Elio Altare Barolo Cannubi,Elio,DOCG,750ml,336600,405280,0.1695,해외가,Elio Altare Cannubi Barolo 2021,1.0,,,,USD,272.0,2026,높음,,False,https://charme-du-vin.com/2026/02/42438/
26,B,엘리오 알타레 바롤로 체레타,Elio Altare Barolo Cerretta,Elio,DOCG,750ml,207900,258262,0.195,해외가,Elio Altare Cerretta Barolo Riserva (Vigna Bricco) 2019,1.0,,,,USD,173.33,2026,높음,,False,https://charme-du-vin.com/2026/02/42438/
27,B,엘리오 알타레 바롤로,Elio Altare Barolo,Elio,DOCG,750ml,128700,150684,0.1459,해외가,Elio Altare Barolo 2021,1.0,,,,USD,101.13,2026,높음,,False,https://charme-du-vin.com/2026/02/42430/
28,B,엘리오 알타레 바롤로 아르보리나,Elio Altare Barolo Arborina,Elio,DOCG,750ml,188100,230458,0.1838,해외가,Elio Altare Arborina Barolo 2021,1.0,,,,USD,154.67,2026,높음,,False,https://charme-du-vin.com/2026/02/42430/
30,B,페트롤로 보지나 안포라 A,Petrolo Boggina Anfora A,Petrolo,,750ml,35640,135098,0.7362,해외가,Petrolo Bòggina A 2023,0.667,,,,USD,90.67,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/01/42407/
46,B,오르넬라이아,Ornellaia,Ornellaia,,750ml,326700,417185,0.2169,해외가,Ornellaia Bolgheri Superiore 2021,1.0,,,,USD,279.99,2025,높음,,False,https://charme-du-vin.com/2025/09/40812/
47,B,오르넬라이아 비안코,Ornellaia Bianco,Ornellaia,,750ml,366300,505393,0.2752,해외가,Ornellaia Toscana Bianco 2022,1.0,,,,USD,339.19,2025,높음,,False,https://charme-du-vin.com/2025/09/40812/
52,B,로베르토 보에르치오 바롤로 델 코무네 디 라 모라,Roberto Voerzio Barolo del Comune di La Morra,Roberto,DOCG,750ml,153450,148985,-0.03,해외가,Roberto Voerzio Barolo del Comune di la Morra 2019,1.0,,,,USD,99.99,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/07/40371/
61,B,자코모 콘테르노 바롤로 프란차,Giacomo Conterno Barolo Francia,Giacomo,DOCG,750ml,346500,393360,0.1191,해외가,Giacomo Conterno Barolo Cascina Francia 2020,1.0,,,,USD,264.0,2025,높음,,False,https://charme-du-vin.com/2025/06/39890/
62,B,마세토,Masseto,Masseto,,750ml,1089000,558750,-0.949,해외가,Masseto Massetino 2021,1.0,,,,USD,375.0,2025,높음,,False,https://charme-du-vin.com/2025/06/39779/
63,B,파토리아 디 바르비 브루넬로 디 몬탈치노,Fattoria di Barbi Brunello di Montalcino,Barbi,DOCG,750ml,87120,97133,0.1031,해외가,Fattoria dei Barbi Brunello di Montalcino 2019,1.0,,,,USD,65.19,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/05/39471/
