id,검색어,분류,현지가_원화,국내가_최저,국내가_중앙,국내가_최고,국내_판매처수,국내가_최신등록일,국내가_신뢰도,국내가_상태,해외_원통화,해외_원가격,해외가_원화,해외_출처,판정근거,기준가_원화,할인율,표본부족,제외건수,비고
1,Delong,?,53500,,,,,,,미유통추정,,,,,판정불가,,,False,0,식별확실=False
2,Martin Wassmer Rosé,?,54400,,,,,,,미유통추정,USD,19.95,29726,Vivino:Domaine Martin Le Petit Martin Rosé 2025,해외평균가,29726,-0.83,False,0,
3,Mignon-Boulard,?,54400,,,,,,,미유통추정,,,,,판정불가,,,False,0,식별확실=False
4,Selosse-Pajon Brut,?,56400,,,,,,,미유통추정,USD,1140.0,1698600,Vivino:Jacques Selosse Brut Rosé Champagne,해외평균가,1698600,0.9668,False,0,⚠비교대상 확인필요(할인율 과대) · 식별확실=False
5,Stradivarius Brut 2009,?,65300,,,,,,,미유통추정,USD,79.99,119185,Vivino:Charles de Cazanove Stradivarius Gold Brut Champagne 2009,해외평균가,119185,0.4521,False,0,식별확실=False
6,Brun-Servenay Cuvée Chardonnay Vieilles Vignes 2012,?,83200,,,,,,,미유통추정,,,,,판정불가,,,False,0,식별확실=False
7,Justin Extra Brut 2009,?,257400,,,,,,,미유통추정,,,,,판정불가,,,False,0,식별확실=False
8,Piper-Heidsieck Brut,GM,48500,48000,55000,75000,22,2025-03-30,최신,조회성공,,,,,국내가,55000,0.1182,False,1,"대체검색어:파이퍼 하이직 · 매칭:파이퍼 하이직, 뀌베 브뤼 NV"
9,Lanson Brut Vintage 2009,GM,64400,,,,,,,미유통추정,USD,125.99,187725,Vivino:Lanson Le Vintage Champagne 2009,해외평균가,187725,0.6569,False,0,
10,Charles Heidsieck Brut Réserve,GM,68300,,,,,,,미유통추정,USD,54.94,81861,Vivino:Charles Heidsieck Brut Réserve,해외평균가,81861,0.1657,False,0,
11,Taittinger FIFA World Cup Brut Réserve,GM,85100,,,,,,,미유통추정,USD,74.99,111735,Vivino:Taittinger FIFA World Cup Réserve Brut Champagne,해외평균가,111735,0.2384,False,0,
12,Bollinger Pinot Noir VZ 2016,GM,89100,,,,,,,미유통추정,USD,2880.0,4291200,Vivino:Bollinger Vieilles Vignes Françaises Blanc de Noirs Brut Cha,해외평균가,4291200,0.9792,False,0,⚠비교대상 확인필요(할인율 과대)
13,Billecart-Salmon Blanc de Blancs Grand Cru,GM,104000,,,,,,,미유통추정,USD,98.95,147436,Vivino:Billecart-Salmon Le Blanc de Blancs Champagne Grand Cru,해외평균가,147436,0.2946,False,0,
14,Billecart-Salmon Brut Rosé,GM,104000,,,,,,,미유통추정,USD,99.92,148881,Vivino:Billecart-Salmon Brut Rosé Champagne,해외평균가,148881,0.3015,False,0,
15,Pol Roger Brut Vintage 2018,GM,116800,,,,,,,미유통추정,USD,127.95,190646,Vivino:Pol Roger Brut Vintage Champagne 2018,해외평균가,190646,0.3873,False,0,
16,Lanson Cuvée Blanc de Blancs 2000,GM,118800,,,,,,,미유통추정,,,,,판정불가,,,False,0,
17,Bollinger Pinot Noir VZ19,GM,128700,,,,,,,미유통추정,,,,,판정불가,,,False,0,
18,Delamotte Blanc de Blancs 2018,GM,128700,,,,,,,미유통추정,USD,175.0,260750,Vivino:Delamotte Blanc de Blancs Brut Millésimé Champagne Grand Cru,해외평균가,260750,0.5064,False,0,
19,Louis Roederer Brut Nature 2015,GM,143600,160000,160000,160000,1,2023-02-23,낮음,조회성공,,,,,국내가,160000,0.1025,True,0,"대체검색어:루이 로드레 · 매칭:루이 로드레, 빈티지 로제 브뤼 2015 · 빈티지 2015 일치 1건"
20,Deutz à 2015,GM,178200,150000,150000,150000,1,2022-11-30,낮음,조회성공,,,,,국내가,150000,-0.188,True,0,"대체검색어:Deutz · 매칭:도츠, 브뤼 밀레짐 2015 · 빈티지 2015 일치 1건"
21,Bollinger Grande Année 2014 木り,GM,188100,335000,342500,350000,2,2023-12-11,낮음,조회성공,,,,,국내가,342500,0.4508,True,0,"대체검색어:볼랭저 · 매칭:볼랭저, 라 그랑 아네 2014 · 빈티지 2014 일치 2건"
22,Lanson Cuvée 2004,GM,207900,,,,,,,미유통추정,USD,225.0,335250,Vivino:Lanson Brut Vintage Collection Champagne 2004,해외평균가,335250,0.3799,False,0,
23,Bollinger Grande Année 2015,GM,227700,,,,,,,미유통추정,USD,224.97,335205,Vivino:Bollinger La Grande Année Brut Champagne 2015,해외평균가,335205,0.3207,False,0,
24,Bollinger Grande Année 2018,GM,227700,,,,,,,미유통추정,USD,196.95,293456,Vivino:Bollinger La Grande Année Brut Champagne 2018,해외평균가,293456,0.2241,False,0,
25,Perrier-Jouët Belle Époque 2016,GM,227700,,,,,,,미유통추정,USD,229.99,342685,Vivino:Perrier-Jouët Belle Epoque Brut Champagne 2016,해외평균가,342685,0.3355,False,0,
26,Rare Champagne Champagne Millésime 2013,GM,227700,,,,,,,미유통추정,USD,175.0,260750,Vivino:Rare Champagne Rare Brut Champagne (Millésimé) 2013,해외평균가,260750,0.1267,False,0,
27,Dom Ruinart Blanc de Blancs 2007,GM,237600,,,,,,,미유통추정,,,,,판정불가,,,False,0,
28,Dom Ruinart Blanc de Blancs Extra Brut 2010,GM,247500,,,,,,,미유통추정,USD,279.9,417051,Vivino:Ruinart Dom Ruinart Blanc de Blancs Extra Brut Champagne 201,해외평균가,417051,0.4065,False,0,
29,Taittinger Comtes de Champagne 2014,GM,257400,,,,,,,미유통추정,USD,241.49,359820,Vivino:Taittinger Comtes de Champagne Blanc de Blancs 2014,해외평균가,359820,0.2846,False,0,
30,Henriot Cuvée 2008,GM,267300,,,,,,,미유통추정,USD,285.0,424650,Vivino:Henriot Cuvée Hemera Brut Champagne 2008,해외평균가,424650,0.3705,False,0,
