id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크
1,D,판티니 칼라렌타 페코리노,Fantini Calalenta Pecorino,Fantini,,750ml,21780,,,없음,,,,,,,,2026,높음,,False,https://charme-du-vin.com/2026/07/44390/
3,D,프레스코발디 브루넬로 디 몬탈치노 카스텔조콘도,Frescobaldi Brunello di Montalcino CastelGiocondo,Frescobaldi,DOCG,750ml,77220,,,없음,,,,,,,,2026,높음,,False,https://charme-du-vin.com/2026/07/44313/
4,A,카스텔로 디 아마 라파리타,Castello di Ama L'Apparita,Ama,,750ml,287100,552224,0.4801,해외가,Castello di Ama L'Apparita 2019,1.0,,,,USD,370.62,2026,높음,,False,https://charme-du-vin.com/2026/07/44264/
5,A,가야 다그로미스 바롤로,Gaja Dagromis Barolo,Gaja,DOCG,750ml,123750,208585,0.4067,해외가,Gaja Dagromis Barolo 2021,1.0,,,,USD,139.99,2026,높음,,False,https://charme-du-vin.com/2026/07/44270/
10,A,사마스,Samas,Samas,,750ml,22770,40156,0.433,해외가,Punica Samas 2025,1.0,,,,USD,26.95,2026,높음,,False,https://charme-du-vin.com/2026/07/44109/
13,A,가야 바르바레스코,Gaja Barbaresco,Gaja,DOCG,750ml,346500,521485,0.3356,해외가,Gaja Barbaresco 2021,1.0,,,,USD,349.99,2026,높음,,False,https://charme-du-vin.com/2026/06/43879/
14,A,자코모 콘테르노 바롤로 리제르바 モンフォルチーノ,Giacomo Conterno Barolo Riserva モンフォルチーノ,Giacomo,DOCG,750ml,1188000,1728326,0.3126,해외가,Giacomo Conterno Barolo Riserva Monfortino 2019,1.0,,,,USD,1159.95,2026,높음,,True,https://charme-du-vin.com/2026/06/43879/
19,A,자코모 콘테르노 바롤로 리제르바 몬포르티노,Giacomo Conterno Barolo Riserva Monfortino,Giacomo,DOCG,750ml,1188000,5362510,0.7785,해외가,Giacomo Conterno Barolo Riserva Monfortino 1999,1.0,,,,USD,3599.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43201/
20,A,자코모 콘테르노 바롤로 프란차,Giacomo Conterno Barolo Francia,Giacomo,DOCG,750ml,376200,544446,0.309,해외가,Giacomo Conterno Barolo Cascina Francia 2021,1.0,,,,USD,365.4,2026,높음,,False,https://charme-du-vin.com/2026/04/43201/
22,A,레 마키올레 메소리오,Le Macchiole Messorio,Macchiole,,750ml,356400,858240,0.5847,해외가,Le Macchiole Messorio 2021,1.0,,,,USD,576.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43103/
