id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크
59,B,라 리오하 알타 ヴィニャアンダンサ 레세르바,La Rioja Alta ヴィニャアンダンサ Reserva,Rioja,,750ml,53737,128125,0.5806,해외가,La Rioja Alta Rioja Gran Reserva 904 2015,1.0,,,,USD,85.99,2023,보통,,True,https://charme-du-vin.com/2023/10/32221/
29,B,쿠네 레세르바,CVNE Reserva,CVNE,,750ml,23681,46175,0.4871,해외가,Cune (CVNE) Reserva Blanco 2019,1.0,,,,USD,30.99,2024,보통,,False,https://charme-du-vin.com/2024/07/35473/
39,B,로제르 굴라르트 コーラル 로사도 브뤼,Roger Goulart コーラル Rosado Brut,Roger,,1.5L,13900,37176,0.6261,해외가,Roger Goulart Cava Reserva Brut 2019,0.667,24500,48250,2022-09-18,USD,24.95,2024,보통,"실제병가:26,730원",True,https://charme-du-vin.com/2024/05/34599/
54,B,바르베이토 마데이라 베르데호 10년,Barbeito Madeira Verdejo 10 Year Old,Barbeito,,750ml,33977,66424,0.4885,해외가,Barbeito 10 Years Old Reserva Verdelho Madeira,0.75,,,,USD,44.58,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/
55,B,바르베이토 마데이라 부알 10년,Barbeito Madeira Bual 10 Year Old,Barbeito,,750ml,33977,66424,0.4885,해외가,Barbeito 10 Years Old Reserva Velha Boal Madeira,0.75,,,,USD,44.58,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/
56,B,바르베이토 마데이라 말바시아 10년,Barbeito Madeira Malvasia 10 Year Old,Barbeito,,750ml,33977,68123,0.5012,해외가,Barbeito 10 Years Old Reserve Sercial Madeira,0.75,,,,USD,45.72,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/
62,B,틴토 페스케라 크리안사,Tinto Pesquera Crianza,Tinto,,750ml,39719,86405,0.5403,해외가,Tinto Pesquera Reserva 2019,0.667,,,,USD,57.99,2023,보통,,False,https://charme-du-vin.com/2023/07/31010/
74,B,발렌시소 리오하 화이트,Valenciso Rioja White,Valenciso,,750ml,31918,69062,0.5378,해외가,VALENCISO Rioja Reserva 2019,0.667,,,,USD,46.35,2022,낮음,빈티지대체,False,https://charme-du-vin.com/2022/06/26507/
86,B,페스케라 크리안사,Pesquera Crianza,Pesquera,,750ml,39897,74485,0.4644,해외가,Tinto Pesquera Crianza 2018,1.0,,,,USD,49.99,2021,낮음,,False,https://charme-du-vin.com/2021/10/24233/
91,B,로제르 굴라르트 コーラル 로사도 브뤼,Roger Goulart コーラル Rosado Brut,Roger,,750ml,16731,37176,0.55,해외가,Roger Goulart Cava Reserva Brut 2019,0.667,24500,48250,2022-09-18,USD,24.95,2021,낮음,,True,https://charme-du-vin.com/2021/03/22097/
1,B,플로르 데 핑구스,Flor de Pingus,Flor,,750ml,128700,178785,0.2801,해외가,Dominio de Pingus Flor de Pingus 2021,1.0,,,,USD,119.99,2026,높음,,False,https://charme-du-vin.com/2026/04/43189/
3,B,시에라 칸타브리아 크리안사,Sierra Cantabria Crianza,Sierra,,750ml,28710,32706,0.1222,해외가,Sierra Cantabria Crianza 2021,1.0,,,,USD,21.95,2026,높음,,False,https://charme-du-vin.com/2026/04/43068/
4,B,시에라 칸타브리아 그란 레세르바,Sierra Cantabria Gran Reserva,Sierra,,750ml,57420,74500,0.2293,해외가,Sierra Cantabria Gran Reserva 2016,1.0,,,,USD,50.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43068/
10,B,라파엘 팔라시오스 로우로,Rafael Palacios Louro,Rafael,,750ml,48510,41646,-0.1648,해외가,Rafael Palacios Louro Godello 2024,1.0,,,,USD,27.95,2025,높음,,False,https://charme-du-vin.com/2025/10/41208/
11,B,라파엘 팔라시오스 아스 소르테스,Rafael Palacios As Sortes,Rafael,,750ml,123750,119185,-0.0383,해외가,Rafael Palacios As Sortes Val do Bibei Godello 2023,1.0,,,,USD,79.99,2025,높음,,False,https://charme-du-vin.com/2025/10/41208/
15,B,초민 에차니스 차콜리 블랑코,Txomin Etxaniz Txakoli Blanco,Txomin,,750ml,29700,28295,-0.0497,해외가,Txomin Etxaniz Txakoli 2024,0.75,,,,USD,18.99,2025,높음,,False,https://charme-du-vin.com/2025/06/39704/
16,B,초민 에차니스 차콜리 로사도,Txomin Etxaniz Txakoli Rosado,Txomin,,750ml,29700,40215,0.2615,해외가,Txomin Etxaniz Txakoli 2023,0.75,,,,USD,26.99,2025,높음,,False,https://charme-du-vin.com/2025/06/39704/
22,B,후안 힐 메세스,Juan Gil meses,Juan,,750ml,46332,32765,-0.4141,해외가,Juan Gil Red Blend 2018,0.667,,,,USD,21.99,2024,보통,,False,https://charme-du-vin.com/2024/12/37484/
25,B,틴토 페스케라 레세르바,Tinto Pesquera Reserva,Tinto,,750ml,64865,75230,0.1378,해외가,Tinto Pesquera Reserva 2020,1.0,,,,USD,50.49,2024,보통,,False,https://charme-du-vin.com/2024/11/36741/
31,B,클레멘스 부쉬 리슬링 마리엔부르크 ラフェ,Clemens Busch Riesling Marienburg ラフェ,Clemens,,750ml,123552,111661,-0.1065,해외가,Clemens Busch Marienburg GG Felsterrasse 2018,0.75,,,,USD,74.94,2024,보통,,True,https://charme-du-vin.com/2024/06/34933/
48,B,돌리베이라 마데이라 부알,D'Oliveira Madeira Bual,D'Oliveira,,750ml,164736,441040,0.6265,해외가,D'Oliveiras Boal Madeira 2001,0.333,,,,USD,296.0,2024,보통,,False,https://charme-du-vin.com/2024/01/32983/
49,B,돌리베이라 마데이라 베르데호,D'Oliveira Madeira Verdejo,D'Oliveira,,750ml,144144,357600,0.5969,해외가,D'Oliveiras Verdelho Madeira 2004,0.333,,,,USD,240.0,2024,보통,빈티지대체,False,https://charme-du-vin.com/2024/01/32983/
50,B,돌리베이라 마데이라 모스카텔 그라우두 1875,D'Oliveira Madeira Moscatel Graúdo 1875,D'Oliveira,,750ml,2779920,1936985,-0.4352,해외가,D'Oliveiras Reserva Moscatel Madeira,0.4,,,,USD,1299.99,2024,보통,,False,https://charme-du-vin.com/2024/01/32981/
51,B,돌리베이라 마데이라 모스카텔 그라우두 1900,D'Oliveira Madeira Moscatel Graúdo 1900,D'Oliveira,,750ml,2162160,1936985,-0.1163,해외가,D'Oliveiras Reserva Moscatel Madeira,0.4,,,,USD,1299.99,2024,보통,,False,https://charme-du-vin.com/2024/01/32981/
60,B,로제르 굴라르트 ザロジャー MARK1,Roger Goulart ザロジャー MARK1,Roger,,750ml,75933,92365,0.1779,해외가,Roger Goulart Cava Gran Reserva Brut 2013,0.667,24500,48250,2022-09-18,USD,61.99,2023,보통,,True,https://charme-du-vin.com/2023/10/31861/
61,B,토레스 비냐 에스메랄다 フロールドランジュ,Torres Viña Esmeralda フロールドランジュ,Torres,,750ml,19859,15466,-0.284,해외가,Familia Torres Viña Esmeralda 2023,1.0,,,,USD,10.38,2023,보통,빈티지대체,True,https://charme-du-vin.com/2023/08/31362/
64,B,콘다도 アザ 크리안사,Condado アザ Crianza,Condado,,750ml,24532,32765,0.2513,해외가,Condado de Haza Crianza Ribera del Duero 2019,1.0,,,,USD,21.99,2023,보통,,True,https://charme-du-vin.com/2023/03/29499/
65,B,플로르 데 핑구스,Flor de Pingus,Flor,,750ml,141174,178785,0.2104,해외가,Dominio de Pingus Flor de Pingus 2019,1.0,,,,USD,119.99,2022,낮음,,False,https://charme-du-vin.com/2022/12/28439/
69,B,소알례이로 ジェルミナール 로우레이루 VV,Soalheiro ジェルミナール Loureiro VV,Soalheiro,,750ml,24552,23766,-0.0331,해외가,Soalheiro Allo Alvarinho - Loureiro 2024,0.667,,,,USD,15.95,2022,낮음,빈티지대체,True,https://charme-du-vin.com/2022/09/27497/
70,B,라 리오하 알타 비냐 알베르디,La Rioja Alta Viña Alberdi,Rioja,,750ml,40511,41705,0.0286,해외가,La Rioja Alta Viña Alberdi Reserva 2018,1.0,,,,USD,27.99,2022,낮음,,False,https://charme-du-vin.com/2022/09/27494/
71,B,라 리오하 알타 비냐 아르단사 레세르바,La Rioja Alta Viña Ardanza Reserva,Rioja,,750ml,57697,56605,-0.0193,해외가,La Rioja Alta Viña Ardanza Reserva 2015,1.0,,,,USD,37.99,2022,낮음,,False,https://charme-du-vin.com/2022/09/27494/
77,B,장 레옹 3055 샤르도네,Jean Leon 3055 Chardonnay,Jean,,750ml,20869,22276,0.0632,해외가,Jean Leon Chardonnay Penedès 3055 2018,1.0,,,,USD,14.95,2022,낮음,빈티지대체,False,https://charme-du-vin.com/2022/03/25546/
82,B,후안 힐 18メセス,Juan Gil 18メセス,Juan,,750ml,43758,32765,-0.3355,해외가,Juan Gil Red Blend 2018,0.667,,,,USD,21.99,2021,낮음,,True,https://charme-du-vin.com/2021/12/24920/
90,B,토레스 비냐 에스메랄다,Torres Viña Esmeralda,Torres,,750ml,14800,15466,0.0431,해외가,Familia Torres Viña Esmeralda 2023,1.0,,,,USD,10.38,2021,낮음,빈티지대체,False,https://charme-du-vin.com/2021/04/22418/
