id,검색어,생산자_영문,생산자_한글,큐베,분류,현지가_원화,게시연도,신뢰도,우선순위,식별확실,샴드뱅링크
1,Delong,Delong,들롱,テル オリジナル,?,53500.0,2026,높음,1,False,http://charme-du-vin.com/2026/02/42672/
2,Martin Wassmer Rosé,Martin Wassmer,마르틴 바스머,ピノRosé ゼクト,?,54400.0,2025,높음,1,True,http://charme-du-vin.com/2025/01/37740/
3,Mignon-Boulard,Mignon-Boulard,미뇽 불라르,エスプリナチューレ ドサージュゼロ,?,54400.0,2025,높음,1,False,http://charme-du-vin.com/2025/11/41505/
4,Selosse-Pajon Brut,Selosse-Pajon,세로스 파종,スーヴニール Brut,?,56400.0,2026,높음,1,False,http://charme-du-vin.com/2026/02/42667/
5,Stradivarius Brut 2009,Stradivarius,스트라디바리우스,Brut 2009,?,65300.0,2025,높음,1,False,http://charme-du-vin.com/2025/11/41396/
6,Brun-Servenay Cuvée Chardonnay Vieilles Vignes 2012,Brun-Servenay,브룅 세르브네,Cuvée Chardonnay Vieilles Vignes 2012,?,83200.0,2025,높음,1,False,http://charme-du-vin.com/2025/02/38132/
7,Justin Extra Brut 2009,Justin,쥐스탱,Extra Brut 2009,?,257400.0,2026,높음,1,False,http://charme-du-vin.com/2026/07/44291/
8,Piper-Heidsieck Brut,Piper-Heidsieck,파이퍼 하이직,Brut,GM,48500.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40895/
9,Lanson Brut Vintage 2009,Lanson,랑송,Brut Vintage 2009,GM,64400.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40976/
10,Charles Heidsieck Brut Réserve,Charles Heidsieck,샤를 하이직,Brut Réserve,GM,68300.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44261/
11,Taittinger FIFA World Cup Brut Réserve,Taittinger,테탱저,FIFA World Cup Brut Réserve,GM,85100.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43278/
12,Bollinger Pinot Noir VZ 2016,Bollinger,볼랭저,Pinot Noir VZ 2016,GM,89100.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40980/
13,Billecart-Salmon Blanc de Blancs Grand Cru,Billecart-Salmon,빌카르 살몽,Blanc de Blancs Grand Cru,GM,104000.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38537/
14,Billecart-Salmon Brut Rosé,Billecart-Salmon,빌카르 살몽,Brut Rosé,GM,104000.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38537/
15,Pol Roger Brut Vintage 2018,Pol Roger,폴 로저,Brut Vintage 2018,GM,116800.0,2026,높음,1,True,http://charme-du-vin.com/2026/03/42883/
16,Lanson Cuvée Blanc de Blancs 2000,Lanson,랑송,ノーブル Cuvée Blanc de Blancs 2000,GM,118800.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40976/
17,Bollinger Pinot Noir VZ19,Bollinger,볼랭저,Pinot Noir VZ19,GM,128700.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39899/
18,Delamotte Blanc de Blancs 2018,Delamotte,델라모뜨,Blanc de Blancs 2018,GM,128700.0,2025,높음,1,True,http://charme-du-vin.com/2025/01/37985/
19,Louis Roederer Brut Nature 2015,Louis Roederer,루이 로드레,Brut Nature 2015,GM,143600.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40704/
20,Deutz à 2015,Deutz,되츠,オマージュ à ウィリアムドゥーツ ミュルテ 2015,GM,178200.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44049/
21,Bollinger Grande Année 2014 木り,Bollinger,볼랭저,Grande Année 2014 木[박스포함]り,GM,188100.0,2025,높음,1,True,http://charme-du-vin.com/2025/05/39308/
22,Lanson Cuvée 2004,Lanson,랑송,ノーブル Cuvée 2004,GM,207900.0,2026,높음,1,True,http://charme-du-vin.com/2026/05/43465/
23,Bollinger Grande Année 2015,Bollinger,볼랭저,Grande Année 2015 [박스없음],GM,227700.0,2025,높음,1,True,http://charme-du-vin.com/2025/07/40094/
24,Bollinger Grande Année 2018,Bollinger,볼랭저,Grande Année 2018,GM,227700.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43670/
25,Perrier-Jouët Belle Époque 2016,Perrier-Jouët,페리에 주에,Belle Époque 2016,GM,227700.0,2025,높음,1,True,http://charme-du-vin.com/2025/12/42076/
26,Rare Champagne Champagne Millésime 2013,Rare Champagne,레어,Champagne Millésime 2013,GM,227700.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43133/
27,Dom Ruinart Blanc de Blancs 2007,Dom Ruinart,돔 뤼나르,Blanc de Blancs 2007,GM,237600.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40969/
28,Dom Ruinart Blanc de Blancs Extra Brut 2010,Dom Ruinart,돔 뤼나르,Blanc de Blancs Extra Brut 2010,GM,247500.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40969/
29,Taittinger Comtes de Champagne 2014,Taittinger,테탱저,Comtes de Champagne 2014,GM,257400.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43774/
30,Henriot Cuvée 2008,Henriot,앙리오,Cuvée エメラ 2008,GM,267300.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39993/
31,Rare Champagne Champagne Millésime 2008,Rare Champagne,레어,Champagne Millésime 2008,GM,267300.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44258/
32,Bollinger Grande Année 2004,Bollinger,볼랭저,Grande Année 2004,GM,287100.0,2026,높음,1,True,http://charme-du-vin.com/2026/05/43359/
33,Taittinger Comtes de Champagne 2005,Taittinger,테탱저,Comtes de Champagne 2005,GM,287100.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40704/
34,Rare Champagne Champagne Rosé 2008,Rare Champagne,레어,Champagne レア Rosé 2008,GM,292000.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44258/
35,Billecart-Salmon Cuvée 2008,Billecart-Salmon,빌카르 살몽,Cuvée ニコラフランソワ 2008,GM,316800.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41222/
